zipcode,number,street,street2,city,state,plus4,country,latitude,longitude,source
75159,1450,"MDW CREEK DR","",SEAGOVILLE,TX,,US,32.5986598,-96.5486923,"NAD Kaufman County, Texas"
75159,2450,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5975766,-96.5459887,"NAD Kaufman County, Texas"
75159,1550,"SMITH CIR","",SEAGOVILLE,TX,,US,32.5935045,-96.5465472,"NAD Kaufman County, Texas"
75159,2540,"PATSY LN","",SEAGOVILLE,TX,,US,32.5980832,-96.5432343,"NAD Kaufman County, Texas"
75159,2551,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5999763,-96.5441177,"NAD Kaufman County, Texas"
75159,2480,"PATSY LN","",SEAGOVILLE,TX,,US,32.5971773,-96.5443669,"NAD Kaufman County, Texas"
75159,1675,"WILLOW BEND WAY","",SEAGOVILLE,TX,,US,32.5917431,-96.5454687,"NAD Kaufman County, Texas"
75159,1520,"COUNTRYSIDE WAY","",SEAGOVILLE,TX,,US,32.5931484,-96.5500069,"NAD Kaufman County, Texas"
75159,2950,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.6042337,-96.5376281,"NAD Kaufman County, Texas"
75159,2815,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.6027727,-96.5406685,"NAD Kaufman County, Texas"
75159,2561,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.600333,-96.5436078,"NAD Kaufman County, Texas"
75159,1655,"SMITH CIR","",SEAGOVILLE,TX,,US,32.5943308,-96.5427445,"NAD Kaufman County, Texas"
75159,1475,"CREEKSIDE DR","",SEAGOVILLE,TX,,US,32.5967335,-96.5498215,"NAD Kaufman County, Texas"
75159,1465,"MDW CREEK DR","",SEAGOVILLE,TX,,US,32.5988251,-96.5479297,"NAD Kaufman County, Texas"
75159,2185,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5935494,-96.5520297,"NAD Kaufman County, Texas"
75159,1615,"COUNTRYSIDE WAY","",SEAGOVILLE,TX,,US,32.5921478,-96.5479366,"NAD Kaufman County, Texas"
75159,2335,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5962375,-96.5487059,"NAD Kaufman County, Texas"
75159,2340,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5959006,-96.5477067,"NAD Kaufman County, Texas"
75159,2545,"PATSY LN","",SEAGOVILLE,TX,,US,32.5983901,-96.5438917,"NAD Kaufman County, Texas"
75159,2425,"SMITH DR","",SEAGOVILLE,TX,,US,32.595819,-96.5450734,"NAD Kaufman County, Texas"
75159,2265,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5949941,-96.5502786,"NAD Kaufman County, Texas"
75159,2255,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5946881,-96.5506055,"NAD Kaufman County, Texas"
75159,2365,"PATSY LN","",SEAGOVILLE,TX,,US,32.5963051,-96.5464804,"NAD Kaufman County, Texas"
75159,1440,"MDW CREEK DR","",SEAGOVILLE,TX,,US,32.5990067,-96.5494752,"NAD Kaufman County, Texas"
75159,1670,"SMITH CIR","",SEAGOVILLE,TX,,US,32.5944154,-96.5415071,"NAD Kaufman County, Texas"
75159,1620,"SMITH CIR","",SEAGOVILLE,TX,,US,32.5927791,-96.5434152,"NAD Kaufman County, Texas"
75159,2520,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5985309,-96.5447582,"NAD Kaufman County, Texas"
75159,2525,"PATSY LN","",SEAGOVILLE,TX,,US,32.5980815,-96.5442721,"NAD Kaufman County, Texas"
75159,2820,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.6029308,-96.5393542,"NAD Kaufman County, Texas"
75159,2425,"PATSY LN","",SEAGOVILLE,TX,,US,32.5967979,-96.5458319,"NAD Kaufman County, Texas"
75159,1510,"COUNTRYSIDE WAY","",SEAGOVILLE,TX,,US,32.5936664,-96.5506068,"NAD Kaufman County, Texas"
75159,2325,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5959598,-96.5491349,"NAD Kaufman County, Texas"
75159,2435,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5978308,-96.5468329,"NAD Kaufman County, Texas"
75159,1505,"COUNTRYSIDE WAY","",SEAGOVILLE,TX,,US,32.5940235,-96.5500509,"NAD Kaufman County, Texas"
75159,1530,"COUNTRYSIDE WAY","",SEAGOVILLE,TX,,US,32.5925951,-96.5494288,"NAD Kaufman County, Texas"
75159,1530,"JIMMY LN","",SEAGOVILLE,TX,,US,32.6010182,-96.540806,"NAD Kaufman County, Texas"
75159,1720,"SMITH CIR","",SEAGOVILLE,TX,,US,32.5954156,-96.5406131,"NAD Kaufman County, Texas"
75159,2110,"COUNTRY VIEW DR","",SEAGOVILLE,TX,,US,32.5888618,-96.5479782,"NAD Kaufman County, Texas"
75159,2720,"BOIS D ARCADE RD",A,SEAGOVILLE,TX,,US,32.5998245,-96.5413826,"NAD Kaufman County, Texas"
75159,1505,"WILLOW BEND WAY","",SEAGOVILLE,TX,,US,32.5948839,-96.5491572,"NAD Kaufman County, Texas"
75159,1535,"SMITH CIR","",SEAGOVILLE,TX,,US,32.5947515,-96.5464144,"NAD Kaufman County, Texas"
75159,2355,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5968053,-96.5480017,"NAD Kaufman County, Texas"
75159,2365,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5972537,-96.5477942,"NAD Kaufman County, Texas"
75159,2875,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.6034773,-96.5397359,"NAD Kaufman County, Texas"
75159,2121,"COUNTRY VIEW DR","",SEAGOVILLE,TX,,US,32.5897182,-96.5480182,"NAD Kaufman County, Texas"
75159,947,"HAINES RD","",SEAGOVILLE,TX,,US,32.6044673,-96.5292917,"NAD Kaufman County, Texas"
75159,1760,"SMITH CIR","",SEAGOVILLE,TX,,US,32.5998405,-96.5422944,"NAD Kaufman County, Texas"
75159,2345,"BOIS D ARCADE RD","",SEAGOVILLE,TX,,US,32.5965059,-96.5483245,"NAD Kaufman County, Texas"
75159,1745,"SMITH CIR","",SEAGOVILLE,TX,,US,32.596578,-96.5422511,"NAD Kaufman County, Texas"
75159,2485,"PATSY LN","",SEAGOVILLE,TX,,US,32.5976389,-96.544845,"NAD Kaufman County, Texas"
